Station,Product,Quantity,Start Time,End Time
4,387439901,2000,21.01.2018 15:10:19,21.01.2018 18:30:19
4,387463799,645,21.01.2018 19:00:19,21.01.2018 19:54:04
4,561340014,512,21.01.2018 20:24:04,21.01.2018 21:37:12
4,387734935,376,21.01.2018 22:07:12,21.01.2018 23:00:55
4,561340013,376,21.01.2018 23:30:55,22.01.2018 00:24:38
4,387242199,1300,22.01.2018 00:54:38,22.01.2018 02:42:58
4,387734933,376,22.01.2018 03:12:58,22.01.2018 04:06:41
4,387734934,376,22.01.2018 04:10:41,22.01.2018 05:04:24
4,387734936,376,22.01.2018 05:09:24,22.01.2018 06:03:07
4,A05758601,1530,22.01.2018 06:33:07,22.01.2018 08:15:07
4,A05758601,2590,22.01.2018 08:15:07,22.01.2018 11:07:47
4,387385908,645,22.01.2018 11:37:47,22.01.2018 12:31:32
4,387385907,1200,22.01.2018 12:45:32,22.01.2018 14:25:32
4,387384201,700,22.01.2018 14:55:32,22.01.2018 15:53:52
4,387384202,645,22.01.2018 16:07:52,22.01.2018 17:01:37
4,387384401,645,22.01.2018 17:30:37,22.01.2018 18:24:22
4,387384201,700,22.01.2018 18:53:22,22.01.2018 19:51:42
4,387385908,645,22.01.2018 20:21:42,22.01.2018 21:15:27
4,387384201,700,22.01.2018 21:45:27,22.01.2018 22:43:47
4,387385908,645,22.01.2018 23:13:47,23.01.2018 00:07:32
4,561609247,376,23.01.2018 00:37:32,23.01.2018 01:31:15
4,561609248,376,23.01.2018 01:35:15,23.01.2018 02:28:57
4,561609248,376,23.01.2018 02:28:57,23.01.2018 03:22:40
4,387240701,2500,23.01.2018 03:52:40,23.01.2018 06:51:15
4,561609243,1024,23.01.2018 07:21:15,23.01.2018 09:47:32
4,387386402,645,23.01.2018 10:17:32,23.01.2018 11:11:17
4,387386401,1200,23.01.2018 11:25:17,23.01.2018 13:05:17
4,387386402,645,23.01.2018 13:19:17,23.01.2018 14:13:02
4,561609244,1024,23.01.2018 14:43:02,23.01.2018 17:09:19
4,561340024,448,23.01.2018 17:39:19,23.01.2018 18:43:19
4,561609248,376,23.01.2018 19:13:19,23.01.2018 20:07:02
4,387251599,1255,23.01.2018 20:37:02,23.01.2018 22:21:37
4,561609244,1147,23.01.2018 22:51:37,24.01.2018 01:35:28
4,561609243,1280,24.01.2018 01:39:28,24.01.2018 04:42:20
4,555016298,645,24.01.2018 05:12:20,24.01.2018 06:06:05
4,387384202,1355,24.01.2018 06:36:05,24.01.2018 08:29:00
4,555016298,645,24.01.2018 08:59:00,24.01.2018 09:52:45
4,387734937,400,24.01.2018 10:22:45,24.01.2018 11:19:53
4,387734938,400,24.01.2018 11:23:53,24.01.2018 12:21:02
4,387385907,1200,24.01.2018 12:51:02,24.01.2018 14:31:02
4,387384402,1200,24.01.2018 15:01:02,24.01.2018 16:41:02
4,387734935,456,24.01.2018 17:11:02,24.01.2018 18:16:10
4,387734936,456,24.01.2018 18:20:10,24.01.2018 19:25:19
4,387734933,376,24.01.2018 19:30:19,24.01.2018 20:24:02
4,387439901,538,24.01.2018 20:54:02,24.01.2018 21:47:50
4,387734937,376,24.01.2018 22:17:50,24.01.2018 23:11:33
4,387734938,376,24.01.2018 23:15:33,25.01.2018 00:09:15
4,387734933,376,25.01.2018 00:14:15,25.01.2018 01:07:58
3,555031699,700,20.01.2018 08:00:00,20.01.2018 10:55:00
3,387736002,1500,20.01.2018 11:25:00,20.01.2018 17:40:00
3,387736002,360,20.01.2018 17:40:00,20.01.2018 19:10:00
3,387736002,1050,20.01.2018 19:10:00,20.01.2018 23:32:30
3,353192018,700,21.01.2018 00:02:30,21.01.2018 02:57:30
